industry_index,industry_id,composition_basis_evidence_tier,period,metric_id,weight_basis,coverage,suppressed,observed,predicted_from_occupation_mix,occupation_adjusted_industry_context_residual
15,educational-services,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,2.571823672,4.17763084665928,-1.6058071746592804
16,health-care-and-social-assistance,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,2.9934271983,4.2583501563375075,-1.2649229580375074
17,arts-entertainment-and-recreation,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,7.3294283676,5.079620927464794,2.249807440135206
18,accommodation-and-food-services,primary_stable,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,2.0108063195,3.4158546127665086,-1.4050482932665087
19,other-services-except-public-administration,limited,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,5.5978468443,4.162214266161758,1.4356325781382422
20,public-administration,excluded,2025-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,0.60938934,4.732905979351659,-4.123516639351659
1,agriculture-forestry-fishing-and-hunting,excluded,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.9916965915,2.487703392719181,-0.49600680121918095
2,mining-quarrying-and-oil-and-gas-extraction,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.1783648668,1.756299426377552,-0.577934559577552
3,construction,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,2.785186884,1.6206694349710158,1.164517449028984
4,manufacturing,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,2.1171586945,2.107256429739414,0.009902264760586199
5,wholesale-trade,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.9099434097,1.9445755855278914,-0.034632175827891354
6,retail-trade,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.4954809451,1.8993650993204374,-0.40388415422043744
7,transportation-and-warehousing,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,2.0083057973,1.347403423828668,0.6609023734713317
8,utilities,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.1982936327,2.053378624616815,-0.8550849919168151
9,information,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,2.8670233548,2.5405111120394324,0.3265122427605678
10,finance-and-insurance,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,2.2784296871,2.1623861423910906,0.11604354470890943
11,real-estate-and-rental-and-leasing,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,2.4394790854,2.1171409625765563,0.32233812282344365
12,professional-scientific-and-technical-services,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,3.3625485759,2.635369127872568,0.7271794480274321
13,management-of-companies-and-enterprises,sensitivity_unstable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.997144115,2.4236546867234035,-0.42651057172340345
14,administrative-and-support-and-waste-management-services,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.2764736633,0.9891377460041614,0.2873359172958386
15,educational-services,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.5813798724,1.9563303784775843,-0.3749505060775842
